job_title,company_name,location,is_remote,salary_min,salary_max,skills_required,experience,date_posted,job_url,description
Performance and Web Analytics-Python(SQL)-Data Scientist-ML,LTIMindtree,IN,False,,,,,2026-03-27T00:00:00.000Z,https://in.linkedin.com/jobs/view/performance-and-web-analytics-python-sql-data-scientist-ml-at-ltimindtree-4390932733,"Performance Analyst

Location: Any LTM office(Hybrid)

Job Responsibilities

• Dive deep into web analytics and user journey analysis to understand customer behavior and optimize conversion paths
• Build and maintain Analytics dashboards for executive stakeholders and create custom metrics segments "
"Data Analytics & Visualization (Tableau, Python, SQL) - Assistant Vice President",Early Career,Mumbai,False,,,,,2026-03-17T00:00:00.000Z,https://jobs.citi.com/job/mumbai/data-analytics-and-visualization-tableau-python-sql-assistant-vice-president/287/91650771792,"Whether you’re at the start of your career or looking to discover your next adventure, your story begins here. At Citi, you’ll have the opportunity to expand your skills and make a difference at one of the world’s most global banks. We’re fully committed to supporting your growth and development fro"
"Senior HR Data Analyst (8+ years ) SQL , Data visualization ,Analytics",Western Digital,Bengaluru,False,,,,,2026-04-09T00:00:00.000Z,https://jobs.smartrecruiters.com/WesternDigital/744000119876397-senior-hr-data-analyst-8-years-sql-data-visualization-analytics,"Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.

At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technolog"
Data Analyst(Python & SQL),VGreenTek,IN,False,,,,,2026-03-19T00:00:00.000Z,https://www.shine.com/jobs/data-analystpython-sql/vgreentek/18786042,"**Job Description:**

As a Data Analyst (SQL & Python) with 4+ years of experience, your role involves handling data analysis tasks efficiently. You will be responsible for performing various data-related tasks using SQL and Python, along with utilizing data visualization tools like Power BI or Tabl"
Data Statistician (Machine Learning) with  Python/SQL and Gen AI,Early Career,Gurugram,False,,,,,2026-03-22T00:00:00.000Z,https://jobs.citi.com/job/haryana/data-statistician-machine-learning-with-python-sql-and-gen-ai/287/92603632624,"Citi Analytics & Information Management (AIM) team is a global community that objectively connects and analyzes information, to create actionable intelligence for our business leaders. The Anti Money Laundering (AML) Financial Crime Data Analytics and Intelligence (FCDAI) analyst will be a part of A"
Python Data Analyst Remote,Tripile,New Delhi,False,,,,,2026-04-05T00:00:00.000Z,https://in.jooble.org/rjdp/243200619398706786,"Tripile, operated by Trivoya Ventures LLC and based in Austin, Texas, specializes in providing travel solutions, including flights, cruises, and car rentals. With a focus on seamless travel experiences, Tripile leverages industry expertise to deliver exceptional services for travelers. The company i"
Performance and Web Analytics-Python(SQL)-Data Scientist-ML,LTIMindtree,Bhubaneswar,False,,,,,2026-03-12T00:00:00.000Z,https://in.linkedin.com/jobs/view/performance-and-web-analytics-python-sql-data-scientist-ml-at-ltimindtree-4384234441,"Performance Analyst

Location: Any LTM office(Hybrid)

Job Responsibilities

• Dive deep into web analytics and user journey analysis to understand customer behavior and optimize conversion paths
• Build and maintain Analytics dashboards for executive stakeholders and create custom metrics segments "
"Senior Manager Data Science - Python, SQL, Cloud, Databricks",UnitedHealth Group,Noida,False,,,,,2026-03-17T00:00:00.000Z,https://careers.unitedhealthgroup.com/job/noida/senior-manager-data-science-python-sql-cloud-databricks/34088/92040149072,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, yo"
Senior Python Data Analyst,CareerFit.ai,IN,False,,,,,2026-04-07T00:00:00.000Z,https://www.shine.com/jobs/senior-python-data-analyst/careerfitai/18898588,"As a Data Analyst at our company, you will play a crucial role in collecting, cleaning, wrangling, and transforming complex datasets into actionable insights. You will be responsible for writing efficient Python scripts using Pandas and NumPy to automate data workflows. Additionally, you will analyz"
"Analytics Manager (SQL, Python, Automation)",Lowe‘s India,IN,False,,,,,2026-03-25T00:00:00.000Z,https://bebee.com/in/jobs/analytics-manager-sql-python-automation-lowelsquos-india--remotein-XRUMDchwBm7aB-1FKWmxi-ayRuECZLfAAU7v,"About Lowe’s

Lowe’s is a FORTUNE® 100 home improvement company serving approximately 16 million customer transactions a week in the United States. With total fiscal year 2024 sales of more than $83 billion, Lowe’s operates over 1,700 home improvement stores and employs approximately 300,000 associa"
